comment_content,comment_time,no_of_likes,comments,sentiments_score,sentiments_class,sentiment_probability
理解往出跑的人我在外地都吓的够呛何况本地人放你你不跑吗这个是人之常情可出现症状哪怕自己想办法在酒店自我隔离呢也不该那会到处乱跑公共交通坐遍不单指武汉还有好些本地归家的已经确诊了又从医院往出跑,1月27日 07:41,2.0,理解往出跑外地够呛本地人放跑人之常情症状想办法酒店自我隔离不该那会乱跑公共交通坐遍指武汉好些归家确诊医院往出跑,NaN,0,0.97953
500万人里面我们坚信有很多是不知情的，是在武汉政府欺瞒信息的情况下，按正常春运规划离开武汉。甚至，我们气愤的也不是那些因为医疗紧缺，想办法出来就医然后主动自我隔离的武汉人民。可那些明知感染，还逃离并四处游荡玩耍，甚至在各种社交网络平台炫耀的人，他们对于自己和他人的生命，毫无尊重。,1月26日 23:29,4504.0,500万人坚信不知情武汉政府欺瞒信息情况春运规划离开武汉气愤医疗紧缺想办法就医主动自我隔离武汉明知感染逃离四处游荡玩耍社交网络平台炫耀生命尊重,NaN,0,0.994793
你说的这种人，全国人可唾骂！博主也是这意思～,1月26日 23:44,254.0,说全国唾骂博主,NaN,0,0.821936
对，虽然不是武汉人，但一直在试图讲道理。更多武汉本地人没有走，即便走了的也是很多返乡务工人员，他们大多是农民工很多事情更不懂，也有很多回家并不知情，知情后害怕更想回家。毕竟我们的传统，就算死也要叶落归根。还有因为资源不够想要逃离求医并且自驾出行，注意自我隔离只想有医生看看他们而已,1月26日 23:49,135.0,武汉试图讲道理武汉本地人走走返乡务工人员农民工事情懂回家不知情知情害怕更想回家传统死叶落归根资源想要逃离求医自驾出行自我隔离只想医生,NaN,0,0.927609
我很生气，学校1月8号放假，我9号到家。如果武汉提前说，我是不会回家的。绝对不会的。留在学校里，也比到处走，坐15个小时火车回家安全。我很生气。,1月26日 23:50,91.0,生气学校月号放假号家武汉提前说回家留在学校里走坐15小时火车回家生气,NaN,0,0.999828
你说的那种老鼠屎，我们武汉人，也很生气很唾弃他们的。,1月27日 01:10,54.0,说那种老鼠屎武汉生气唾弃,NaN,0,0.999228
这种明知道有症状还跑出去的垃圾有天回来了我们武汉人都要当街捶死他！,1月27日 01:25,37.0,明症状跑出去垃圾有天回来武汉当街捶死,NaN,0,0.999818
我出去玩时加了个马来西亚华裔，她今天发信息，在新山，有个孩子出现疑似症状，他爸爸坚决不隔离，要坐飞机回国！是的，我们骂的是这种！只是偶尔气极用“武汉人”代替了“武汉那部分明知带病还瞎逛”，因为称谓太长了向每一位善良的武汉人致歉！,1月27日 03:05,33.0,出去玩时加马来西亚华裔发信息新山有个孩子疑似症状爸爸隔离坐飞机回国骂气极用武汉武汉明知带病瞎逛称谓太长一位善良武汉致歉,NaN,0,0.983934
当时武汉领导亲口说不会人传人,1月27日 01:34,24.0,武汉领导亲口说传人,NaN,0,0.78473
明知感染到处乱跑的人真的应该被骂！,1月26日 23:50,23.0,明知感染乱跑真的骂,NaN,0,0.998499
真的可恨把自己隔离好送医院救自己命我觉得做的很对但抱着自己不好过别人也不能好过想法的这种人真该死希望他们没有下辈子,1月27日 00:09,16.0,真的可恨隔离送医院救命做抱不好过好过想法人真该死希望下辈子,NaN,0,0.999773
是的，武汉是华中地区最大的城市体，常住人口有1400万，现在又是春节放假的高峰，500万人离开武汉很正常。而且，这500万人当中至少300万都是回了武汉周边城市的湖北老家。至少120万是大学生，外来务工人员和来旅游人员等等，而且并不是每个都感染了病毒。所以不用过度恐慌，最惨的是武汉周边的湖北城市,1月27日 01:42,15.0,武汉华中地区城市体常住人口1400万春节放假高峰500万人离开武汉500万人至少300万回武汉周边城市湖北老家至少120万是大学生外来务工人员旅游人员感染病毒不用过度恐慌最惨武汉周边湖北城市,NaN,2,0.924614
博主也觉得这种人该骂，只是他希望在骂得时候不要带上，武汉人，这三个字,1月27日 00:41,15.0,博主人该骂希望骂带上武汉三个字,NaN,0,0.980941
图片评论¡评论配图,1月27日 02:27,6.0,图片评论¡评论配图,NaN,NaN,NaN
天上九头鸟，地上湖北佬，都加点小心吧，明知道自己有病还不带口罩出去传播，这安的什么心。,1月27日 03:48,5.0,天上九头鸟地上湖北佬加点小心明有病不带口罩传播这安心,NaN,0,0.99907
对啊！身为湖北人，每天都看到好多人骂湖北，骂武汉，真的会很心痛！并不是所有从武汉出来的人都是故意的！而那些选择在这时当逃兵的人，会遭人唾弃！,1月27日 08:47,2.0,身为湖北好多骂湖北骂武汉真的心痛武汉选择逃兵遭人唾弃,NaN,0,0.985434
对，我离开武汉的时候并不知道病毒的严重性，我们学校的同学们几乎都没太重视真不是故意的,1月26日 23:03,2932.0,离开武汉并不知道病毒严重性学校同学们太重视真不是故意,NaN,0,0.981648
对，我离开武汉的时候并不知道病毒的严重性，我们学校的同学们几乎都没太重视真不是故意的,1月26日 23:03,2932.0,离开武汉并不知道病毒严重性学校同学们太重视真不是故意,NaN,0,0.981648
别说你们没重视，武汉政府都没重视,1月26日 23:44,1079.0,重视武汉政府重视,NaN,0,0.999216
我们说武汉人不是针对你们全部只是说那些明明知道有已经说不要乱跑还故意的人🙏我们都可以挺过去相信祖国,1月26日 23:54,510.0,说武汉说明明说乱跑🙏挺祖国,NaN,NaN,NaN
是的，11号离开武汉，真的完全不知道这么严重，前一周闷在学校搞课设，真的不是我们故意‘逃》’走的,1月26日 23:43,385.0,11号离开武汉真的前一周闷学校搞课设真的逃走,NaN,0,0.997966
这事真的是醉了。怪政府开始不重视。我不在武汉也不是武汉人。开始看播报过。后面就是都治好出院了。完全没觉得严重。大家也都没有重视起来。后面一发不可收拾了传播到处都是才开始隔离。封城都封晚了。真的不想说这个湖北ZF,1月26日 23:53,184.0,事真的醉政府重视不在武汉武汉播报都治好出院重视一发不可收拾传播隔离封城封晚真的不想说湖北ZF,NaN,0,0.999806
不怪你，你能意识到要重视并且注意不出门居家隔离，就是很棒的,1月26日 23:43,132.0,不怪意识重视出门居家隔离很棒,NaN,2,0.869393
对于你们，我抱着同情的态度，可那些明明有症状还要吃药隐藏病情外出的不管哪里人真的很可恶，如果你没有感染，希望你健康，如果你感染了，希望你早日康复，加油！,1月26日 23:57,127.0,抱同情态度明明症状吃药隐藏病情外出真的可恶感染希望健康感染希望早日康复加油,NaN,0,0.931245
不怪你们不知情的，我们骂的是那些知道自己有问题或者都通知了封城还全世界到处跑的憨批,1月26日 23:52,72.0,不知情骂通知封城全世界到处跑憨批,NaN,0,0.999583
不用过分责怪自～及时关注自己的身体问题及时上报就好了,1月26日 23:42,60.0,不用过分责怪关注身体上报,NaN,2,0.95866
对的……我就31号紧张了一天结果后来一点动静都没还说没事七号就放假回家了,1月26日 23:44,71.0,31号紧张一点动静说没事七号放假回家,NaN,0,0.815191
只要你们不乱跑，在家自行隔离，去医院和当地警务报备，至少你们是负责的，最讨厌的是那种明知道这种情况，还四处游走的人！,1月26日 23:49,38.0,乱跑在家自行隔离医院警务报备至少负责讨厌那种明情况四处游走,NaN,0,0.997296
武汉是华中地区最大的城市体，常住人口有1400万，现在又是春节放假的高峰500万人离开武汉很正常。这500万人当中至少300万都是回了武汉周边城市的湖北老家。至少120万是大学生返乡，其次才是外来务工人员等等，而且并不是每个都感染了病毒。所以不用过度恐慌，最惨的是我们武汉周边的湖北城市,1月27日 01:46,38.0,武汉华中地区城市体常住人口1400万春节放假高峰500万人离开武汉500万人至少300万回武汉周边城市湖北老家至少120万是大学生返乡外来务工人员感染病毒不用过度恐慌最惨武汉周边湖北城市,NaN,2,0.965417
封城前离开不是问题，就是疫情明朗后应该自我隔离14天，不要到处跑,1月26日 23:47,30.0,封城前离开疫情明朗自我隔离14天到处跑,NaN,0,0.925226
没关系！！！我们也根本没有人怪罪你们骂的都是吃野味的憨批和明知有病还四处乱窜的人！！你们不管是不知情的还是乖乖在家配合防疫的都是最棒的崽都会好起来的！！会健健康康的！,1月27日 01:59,20.0,没关系怪罪骂吃野味憨批明知有病四处乱窜不知情乖乖在家配合防疫棒崽健健康康,NaN,0,0.986157
武汉政府捂着，有人报还抓,1月26日 23:48,30.0,武汉政府捂着有人报抓,NaN,0,0.569222
武汉的流动人口就有500万，占武汉本地人的1/3，1月10号春运，23号封城，不都是武汉人，有学生和返乡的人，只能说ZF不作为,1月26日 23:07,1647.0,武汉流动人口500万占武汉本地人月10号春运23号封城武汉学生返乡只能说ZF,NaN,0,0.906884
武汉的流动人口就有500万，占武汉本地人的1/3，1月10号春运，23号封城，不都是武汉人，有学生和返乡的人，只能说ZF不作为,1月26日 23:07,1647.0,武汉流动人口500万占武汉本地人月10号春运23号封城武汉学生返乡只能说ZF,NaN,0,0.906884
我想说的是常驻人口≠武汉人外地在武汉工作落户就变成了武汉籍但是人家过年还是要回老家啊…再说之前又没接到通知…现在留下的大部分是武汉本地人，小部分是放假放的晚没来的急回去的,1月26日 23:51,73.0,想说常驻人口≠武汉外地武汉工作落户武汉籍过年回老家接到通知留下大部分武汉本地人放假放晚没来急回去,NaN,0,0.885849
我就是那九百万武汉市籍中的一员。我们家人从知道疫情严重后至今8天没有出过门了。真的很恨那些给武汉招黑的人日子已经够难过了！还要贱不搂搜的顶着武汉人三个字干坏事！还有去骂那些向武汉伸出援手的人！害得我们这些本分呆着的人一起被骂得抬不起头！,1月27日 01:44,63.0,九百万武汉市籍中一员家人疫情天过门真的恨武汉招黑日子够难过贱搂搜顶武汉三个字干坏事骂武汉伸出援手害本分呆骂抬,NaN,0,0.998186
是的，武汉是华中地区最大的城市体，常住人口有1400万，现在又是春节放假的高峰500万人离开武汉很正常。这500万人当中至少300万都是回了武汉周边城市的湖北老家。至少120万是大学生，外来务工人员和来旅游人员等等，而且并不是每个都感染了病毒。所以不用过度恐慌，最惨的是我们武汉周边的湖北城市,1月27日 01:44,40.0,武汉华中地区城市体常住人口1400万春节放假高峰500万人离开武汉500万人至少300万回武汉周边城市湖北老家至少120万是大学生外来务工人员旅游人员感染病毒不用过度恐慌最惨武汉周边湖北城市,NaN,2,0.939264
看看这个博主这两天发的博文，全是一些可怜的求助博文，挣扎在死亡线上，随时和家人阴阳两隔，他们做错了什么？有的人甚至医药费都付不起了，在这个时候居然还有人洗地说当官的没错？我真希望看见这些人全家族躺进ICU，治得倾家荡产还是一个死，我看他们还会不会说当官的没错，自己罪有应得？,1月31日 01:44,2.0,博主两天发博文全是可怜求助博文挣扎死亡线家人阴阳两隔做错医药费付人洗说当官没错真希望人全家族躺进ICU治得倾家荡产死还会说当官没错罪有应得,NaN,0,0.999862
1月10号春运，23号才意识到严重性封城，24号除夕，该走的也都走了,1月27日 11:38,5.0,月10号春运23号意识严重性封城24号除夕走走,NaN,0,0.940154
李兰娟院士说过已经给武汉自己控制人员流动的机会，是武汉自身没有管理好，最终高层当机立断马上封城，如此输出危险因素太惊人了。,1月27日 07:11,12.0,李兰娟院士说武汉控制人员流动机会武汉管理最终高层当机立断封城输出危险因素太惊人,NaN,2,0.577759
我还在武汉旁边的小城市黄石上学，1.13号回家在武汉站中转2小时，现在都隔离了。,1月27日 00:00,9.0,武汉旁边城市黄石上学1.13号回家武汉站中转小时隔离,NaN,1,0.529924
博主不要太忧心，其实大家骂的更多的是憨批hbzf和whzf,1月26日 23:42,6.0,博主太忧心骂憨批hbzfwhzf,NaN,0,0.911114
图片评论¡评论配图,1月27日 00:41,9.0,图片评论¡评论配图,NaN,NaN,NaN
我们承认大部分武汉人是自觉的，但是确实少部分武汉人很过分，好多省市第一例都是武汉本地人出来探亲，内蒙古那个还是武汉人自驾去的，我看新闻新加坡、加拿大、日本第一例也都是武汉本地人，不过反正哪儿都有这么自私的人，还是市政府采取的措施太晚,1月27日 11:12,6.0,承认大部分武汉自觉确实少部分武汉过分好多省市第一例武汉本地人探亲内蒙古武汉自驾新闻新加坡加拿大日本第一例武汉本地人反正自私市政府措施太晚,NaN,0,0.985069
秋后总账肯定会算，但是现在省ZF各级都在一线工作，先不要骂,1月27日 15:46,无,秋后总账肯定会算省ZF一线工作先骂,NaN,0,0.642048
对于回家的人真的是人之常情。换你，在没症状的情况下，是回到家自我隔离还是在物资有短缺征兆的围城里？但是，回到一线城市以下的就蠢了点了，万一发生事，这病谁给你治？,1月27日 05:22,5.0,回家真的人之常情换症状情况回到家自我隔离物资短缺征兆围城里回到一线城市蠢点发生事这病治,NaN,0,0.999676
政府也不能啥都不确定就封城吧不作为夸张了,1月27日 07:23,1.0,政府封城夸张,NaN,0,0.999439
@浮游生物---,1月27日 04:46,无,浮游生物,NaN,2,0.703171
唉，除了个别几个憨批，其他人也是受害者啊。留在城里的更是心疼。,1月26日 23:03,1175.0,几个憨批其他人受害者留在城里更是心疼,NaN,0,0.999621
唉，除了个别几个憨批，其他人也是受害者啊。留在城里的更是心疼。,1月26日 23:03,1175.0,几个憨批其他人受害者留在城里更是心疼,NaN,0,0.999621
我是武汉本地人，从21号知道疫情严重性再也没出过门，食物都是婆婆过年准备的，但是没有青菜，已经有7天没吃过青菜了，真的被ZF坑惨了,1月27日 23:09,3.0,武汉本地人21号疫情严重性再也过门食物婆婆过年青菜天没吃过青菜真的ZF坑惨,NaN,0,0.994635
是的，感觉大家都挺可怜的，希望疫情尽快得到控制，希望已经感染的同胞尽快得到治愈,1月27日 22:10,无,感觉挺可怜希望疫情控制希望感染同胞治愈,NaN,2,0.871131
回复@super妮妮妮:哦那谢谢你啦,1月27日 20:09,无,回复er妮妮妮谢谢,NaN,2,0.994406
我知道出城的有上百万，但是这些人每个都是带着恶意出城的?那些急着回家过年的农民工和学生都是带着恶意出城的?谁张口就来?我说的个别是指那种确诊或者疑似感染的还要往外跑的人。,1月27日 18:16,2.0,出城上百万恶意出城急回家过年农民工学生恶意出城张口说指那种确诊疑似感染往外跑,NaN,0,0.986572
bg,1月27日 17:59,无,bg,NaN,2,0.970267
封城的感受我算是体会了，太可怕了，我焦虑症犯了，每天心慌失眠。,1月27日 15:40,3.0,封城感受算是体会太可怕焦虑症犯心慌失眠,NaN,0,0.92992
回复@米喵_mi:我骂的就是私自出去的憨批别对号入座,1月27日 14:21,无,回复米喵mi骂私自憨批别对号入座,NaN,0,0.996105
不只是几个憨批吧……这海鲜市场据说生意很火，看这次国家应该严厉打击吃野生动物的g和贩卖捕杀的,1月27日 13:23,2.0,几个憨批海鲜市场生意很火国家严厉打击吃野生动物g贩卖捕杀,NaN,0,0.973183
回复@猫爷相公:30万里有多少人都是在疫情发布前很早就买好票了的呢？得知自己有病还乱跑的相比留守的就是少数,1月27日 12:21,3.0,回复猫爷相公30万里疫情发布前早就买好票得知有病乱跑相比留守,NaN,0,0.890193
不是个别是30万,1月27日 12:04,3.0,30万,NaN,0,0.996519
没有啊，我们留在武汉的自我感觉还不错，好不容易有在家休息就可以为国家做贡献的时候每天就是吃吃喝喝睡睡玩玩,1月27日 11:25,无,留在武汉自我感觉不错好不容易在家休息国家做贡献吃吃喝喝睡睡玩玩,NaN,2,0.976207
回复@沙雕娜焦:那留在本地的990万人就该死嘛？,1月27日 11:25,无,回复沙雕娜焦留在990万人该死,NaN,0,0.998884
默默忍受歧视的武汉人民,1月26日 23:07,1040.0,默默忍受歧视武汉,NaN,0,0.96031
嗨，没事，我们湖北人一起扛！,1月26日 23:41,241.0,嗨没事湖北扛,NaN,2,0.997902
大家骂的都是无作为的zf和明明发烧咳嗽还要逃出来的人。加油，一定可以挺过去的🙏,1月26日 23:46,171.0,骂zf明明发烧咳嗽逃出来加油挺🙏,NaN,NaN,NaN
我是湖北人，也是武汉上班返乡后听到封城消息的，回家后自觉隔离，数天过日子计算潜伏期，担惊受怕自己真的感染病毒，也怕传给家里老人小孩，还要忍受网上铺天盖地骂我们是出逃的人，很难受真的，难道不是有罪的人才需要出逃吗？大部分人都是去武汉工作谋生的，这也有罪吗？我真不知道我们犯了什么罪！,1月26日 23:52,125.0,湖北武汉上班返乡听到封城消息回家自觉隔离数天过日子计算潜伏期担惊受怕真的感染病毒传给家里老人小孩忍受网上铺天盖地骂出逃难受真的有罪人才出逃大部分武汉工作谋生有罪真不知道犯罪,NaN,0,0.999715
抱抱，我们没有歧视你们。你们在武汉也要照顾好自己，要多梳理情绪！做好防护！千万不能崩溃了！你的身后还有国家还有我们,1月26日 23:52,95.0,抱抱歧视武汉照顾梳理情绪做好防护崩溃身后国家,NaN,0,0.665545
坐标西安真心没有歧视你们，我们都知道是一颗老鼠屎害了一锅汤，我们憎恨的是吃野味的人和恶意传播的人还有不作为的zf我们很感谢你们，牺牲自己的利益义无反顾的封城防止病毒继续扩散你们很棒，等事情过去了，欢迎你们来做客我们一起加油,1月26日 23:55,79.0,坐标西安真心歧视一颗老鼠屎害锅汤憎恨吃野味恶意传播zf感谢牺牲利益义无反顾封城病毒扩散很棒事情做客加油,NaN,0,0.607808
我们河南人一直以来被歧视偷井盖，好像我们每个河南人都偷井盖一样，加油！,1月26日 23:50,87.0,河南人歧视偷井盖好像河南人偷井盖加油,NaN,0,0.813921
今天看到武汉人民被个别惊慌导致不理解的浙江同胞骂是垃圾，真的是气死我了，回了她一句，然后她情绪激昂的回了我四句，看完气死我了，但是我还是没回她，直接拉黑了，我觉得打这些嘴仗没有意义，这个时候我们湖北是一体的，不只是武汉人被歧视，湖北人民同在！,1月26日 23:55,61.0,武汉惊慌导致理解浙江同胞骂垃圾真的气死我了回一句情绪激昂回四句完气死我了没回拉黑嘴仗意义湖北一体武汉歧视湖北,NaN,0,0.999917
不歧视武汉，都是中国人，困难面前团结第一，戴好口罩，保护好自己,1月26日 23:45,64.0,歧视武汉中国困难面前团结第一戴好口罩保护,NaN,2,0.978204
现在歧视的可不止武汉人民了，谈鄂色变外省人眼里，湖北人已经全病了,1月27日 02:01,37.0,歧视武汉谈鄂色变外省人眼里湖北全病,NaN,0,0.990903
没有没有虽然我恨死了那些带病来云南故意传播病情的人但我恨他们不是因为是武汉人他们无论是哪里人都是臭蛆一条要是这些人是我家人我也会毫不犹豫的举报并唾弃讨厌他们一辈子武汉加油,1月27日 00:22,22.0,恨死带病云南传播病情恨武汉无论是蛆一条我家毫不犹豫举报唾弃讨厌一辈子武汉加油,NaN,0,0.99913
湖北人一起扛都会过去的。春天武汉的樱花真的很美,1月26日 23:45,30.0,湖北扛春天武汉樱花真的美,NaN,2,0.999981
心疼武汉人！感谢武汉人！很多离开的都不是武汉人，反而是返乡务工人员或者大学生，他们大多数也是不知情的，大家能不能理性一点，这个锅是谁的难道心里没数吗,1月27日 00:06,20.0,心疼武汉感谢武汉离开武汉返乡务工人员大学生不知情理性一点锅没数,NaN,0,0.952107
看看热评第一，都在追着骂武汉人呢,1月27日 00:44,16.0,热评第一追骂武汉,NaN,0,0.968655
看了看基本大部分都是善意理解的留言，十分感谢你们。被疫情连累，还帮我们说话。说再多也没用，希望疫情早日过去！哈哈，都在湖北，我们也算是同甘共苦了！加油！一起加油！。,1月26日 23:26,860.0,大部分善意理解留言感谢疫情连累帮说话说没用希望疫情早日湖北算是同甘共苦加油加油,NaN,2,0.999849
没什么连累不连累的！你们也是被连累的人！该骂的是吃野味的！是有病四处乱跑的！是伤医不配合的！,1月26日 23:54,16.0,没什么连累连累连累骂吃野味病四处乱跑伤医配合,NaN,0,0.999941
我想除了那些明知道自己身体不舒服还到处跑的缺德人之外有一部分人在20号之前出来真的不是故意因为当时都觉得不严重现在可能也是进退两难的局面不管怎么样加油吧,1月26日 23:47,11.0,想明身体舒服到处跑缺德之外一部分20号真的不是故意进退两难局面加油,NaN,0,0.980605
出问题是某些吃野味的憨批，是明知病毒传染，甚至自己发热还要跑出武汉的人。只是这次爆发源在于武汉某些人吃了野味，但其他地区的某些人，也不是没有吃野味的人，所以我的谴责的从来不是武汉人，而且一些披着人皮的恶魔,1月26日 23:46,10.0,吃野味憨批明知病毒传染发热跑武汉爆发源武汉吃野味地区吃野味谴责从来不武汉披着人皮恶魔,NaN,0,0.987012
没有帮你们说话，因为你们也是受害者，我们维护你们是我们应该做的。大家一起，度过难关，一切都会好的，待春暖花开，一起去武汉看樱花,1月27日 00:15,4.0,帮说话受害者维护做度过难关春暖花开武汉樱花,NaN,0,0.994433
后来生病的人都是被连累啊，大多数人都是善良的，没有人想祸害别人啊，这样子会良心不安的，所以不论是湖北人还是谁，都应该多注意多小心，因为我们大多数人都是爱自己也爱同胞的,1月27日 08:59,2.0,生病连累善良人想祸害样子良心不安不论是湖北小心爱爱同胞,NaN,1,0.545807
你们也是被连累的呀，这病毒又不是武汉人造出来的，跟你们没关系，还是吃野味那些人还有wh政府的事，你们最可怜，抱抱你,1月27日 00:10,2.0,连累病毒武汉人造没关系吃野味wh政府事可怜抱抱,NaN,0,0.999525
我心疼那些留在武汉的人，希望他们都可以好好的，也一定会好的！像那些跑出来直接去医院的，也可以理解。但是明知道自己有症状，或者知道不让往外跑了，还跑出来到处玩儿，或者二十几号从外地赶回去再返回的，活该被骂，真的。我非常不理解这种人的脑回路，都是什么奇葩玩意儿，骂也只骂他们,1月27日 08:40,2.0,心疼留在武汉希望好好跑医院理解明症状不让往外跑跑玩儿二十几号外地赶回去返回活该骂真的理解脑回路奇葩玩意儿骂骂,NaN,0,0.999706
都会好起来的加油,1月27日 00:27,无,加油,NaN,2,0.999942
加油啊保护好自己,1月27日 00:07,无,加油保护,NaN,2,0.999483
加油，武汉人民真的受苦了,1月27日 00:01,1.0,加油武汉真的受苦,NaN,2,0.967721
就喜欢你这种乐观的,1月27日 00:00,1.0,喜欢乐观,NaN,2,0.999868
我妈妈一个平时最爱看韩剧的人，现在守在电视机前常看的也只有新闻联播了,1月27日 23:03,无,妈妈平时爱看韩剧守电视机前常新闻联播,NaN,2,0.986094
本身最该死的是四类人，第一类买卖野生动物的，第二类给国家添乱到处跑的，第三类离开后不自我隔离14天还到公共场所乱窜的，第四类是搞分裂恶意辱骂真心帮助武汉的朋友的键盘侠。然后最该致敬的唯有三类人：一是留守的武汉良民，二是奔赴一线的医疗人员和士兵，三是无私奉献捐款的社会各界人士和企业！,1月27日 23:01,无,该死四类人第一类买卖野生动物第二类国家添乱到处跑第三类离开自我隔离14天公共场所乱窜第四类搞分裂恶意辱骂真心武汉朋友键盘侠最该致敬三类一是留守武汉良民二是奔赴一线医疗人员士兵三是无私奉献捐款社会各界人士企业,NaN,1,0.51746
估计憨批市长的500万话一出，湖北人又得受委屈被骂，我特么的16号回京，原计划也没在汉过年，回来就隔离了，还主动联系了人所在地社区，目前状况也正常，恐怕我也为这500万做贡献了吧，但我特么的是故意要逃的吗？我要知道打死我也不走啊,1月26日 23:29,707.0,估计憨批市长500万话一出湖北受委屈骂我特16号回京原计划汉过年回来隔离主动所在地社区状况500万做贡献特逃我要打死走,NaN,0,0.999511
估计憨批市长的500万话一出，湖北人又得受委屈被骂，我特么的16号回京，原计划也没在汉过年，回来就隔离了，还主动联系了人所在地社区，目前状况也正常，恐怕我也为这500万做贡献了吧，但我特么的是故意要逃的吗？我要知道打死我也不走啊,1月26日 23:29,707.0,估计憨批市长500万话一出湖北受委屈骂我特16号回京原计划汉过年回来隔离主动所在地社区状况500万做贡献特逃我要打死走,NaN,0,0.999511
说实话也要骂，不说实话也要骂，市长表示也很难啊，大多数人骂得不是武汉人也不是湖北人，而是那些明知道自己可能已经感染，还赶紧出逃，千里送毒的人！,1月26日 23:57,135.0,说实话骂说实话骂市长难骂武汉湖北明感染赶紧出逃千里送毒,NaN,0,0.999915
其实这个市长一直在一线也挺不容易的,1月27日 00:04,118.0,市长一线挺,NaN,2,0.964485
其实这个市长一直都在线，从视频看出来都憔悴了。,1月27日 00:09,97.0,市长在线视频憔悴,NaN,2,0.785818
我18号走的，17号还在汉口和同学耍了一下午，那时候根本不知道疫情严重，出门说戴口罩也忘了，20号之前的武汉一片祥和，回来就爆发了，我每天都在刷新闻，想起自己17号在汉口18号从武汉站走就后怕，我们家还因为这事闹的不可开交要是早告诉我疫情这么严重，我就不会到处跑了,1月27日 00:00,66.0,18号走17号汉口同学耍下午疫情出门说戴口罩忘20号武汉祥和回来爆发刷新闻想起17号汉口18号武汉站走后怕家这事闹早告诉疫情到处跑,NaN,0,0.994776
你不用有任何心里负担，我倒是看现在有很多人吓傻了，脑子都不清楚了，武汉人才是最大的受害者,1月27日 00:01,40.0,不用负担吓傻脑子武汉人才受害者,NaN,0,0.871808
但是真的也有很多50岁左右的人，得了病还不知道自己是怎么回事，到处跑，就以为是普通感冒。这样的大有人在～,1月27日 00:09,29.0,真的50岁病怎么回事到处跑感冒大有人在,NaN,0,0.918128
可以人肉这个市长了解一下他没错个别新年刚领到新键盘的憨批们别指责了好吗,1月27日 00:11,18.0,肉市长没错新年领到新键盘憨批们指责,NaN,0,0.661246
大家讨厌的是明知故犯的那一些人,1月26日 23:57,20.0,讨厌明知故犯,NaN,0,0.896599
湖北人，好战，不团结，精明，轻生死重恩仇，明知自己身上有病还不带口罩四处浪，天上九头鸟，地上湖北佬，老祖宗的话要谨记！,1月27日 06:14,10.0,湖北好战团结精明轻生死重恩仇明知身上有病不带口罩四处浪天上九头鸟地上湖北佬老祖宗谨记,NaN,2,0.683676
我21号还正常坐地铁去上班，下午还去逛街了晚上看网上感觉有点严重了，第二天醒来更加严重，从此门都没出了！,1月27日 00:03,16.0,21号坐地铁上班下午逛街晚上网上感觉第二天醒来门没出,NaN,0,0.949717
今天下午还看到好多浙江人民因为网上的言论骂武汉。现在又爆出来这个，好不容易全国人民有所消化了又被丢了个爆炸信息。哎，不知道说什么好了。,1月27日 00:10,13.0,今天下午好多浙江网上言论骂武汉爆好不容易全国消化丢爆炸信息说,NaN,0,0.996961
跟你一样自我隔离不出门最近都是太无辜我们太信任官方根本不知道啊,1月26日 23:36,14.0,自我隔离出门太无辜太信任官方,NaN,0,0.995352
你咋这么棒啊！腰都是你这种人事情也不会发展到现在我们不会怪你这种乖崽的！！！大家都分得清武汉人和武憨人哈哈哈哈,1月27日 02:04,8.0,棒腰事情发展乖崽分得清武汉武憨人哈哈哈哈,NaN,2,0.797203
你离开后主动隔离也还好，有的人在20号走的明明身体有异状，乘坐公共交通不说了，回来继续逛街去人多的地方不戴口罩，这是恶意传播，这种我真不能原谅！,1月27日 04:02,3.0,离开主动隔离还好20号走明明身体异状乘坐公共交通说回来逛街地方不戴口罩这是恶意传播真原谅,NaN,0,0.987449
对不起原谅不了身边已经有人为此去世了,1月26日 23:42,335.0,对不起原谅身边有人去世,NaN,0,0.995728
对不起原谅不了身边已经有人为此去世了,1月26日 23:42,335.0,对不起原谅身边有人去世,NaN,0,0.995728
原谅不了也不会过分责怪.我不是圣母只是个普通的人做不到死神在身边还笑着拥抱.只求疫情能够得到抑制.之后吃野生动物会被判刑。而不是在这原谅这个原谅那个.,1月27日 00:44,191.0,原谅过分责怪圣母做不到死神身边笑拥抱只求疫情抑制吃野生动物判刑原谅原谅,NaN,0,0.971917
我的医生叔叔我朋友的爷爷我身边很多认识的好人都因为这个病死了原不原谅无所谓但求不要用一句武汉人抹杀掉所有现在仍然坚守在武汉的人的希望。我们才是真正的武汉人有些人并不配,1月27日 01:49,136.0,医生叔叔朋友爷爷身边好人病死原原谅无所谓但求一句武汉抹杀掉坚守武汉希望武汉不配,NaN,0,0.55097
反正武汉人就是说出来的全是流动人口呗,1月27日 00:08,104.0,反正武汉全是流动人口,NaN,0,0.941504
没办法不怪南方发展迅速经济优越当然值得骄傲但是吃这些野生动物不管是故意还是不故意的都是传染了很多人对国家造成了这么大的恐慌.对群众造成了这么大的危害.让多少人害怕难过让多少人患病圣母也要有个限度,1月27日 00:40,80.0,办法南方发展经济优越值得骄傲吃野生动物传染国家恐慌群众危害害怕难过患病圣母限度,NaN,0,0.997005
三个人两个怼的都是湖北的,1月26日 23:59,56.0,三个两个怼湖北,NaN,2,0.908088
